date,open,high,low,close,volume,factor
2024-03-28,23.59,24.7,23.59,24.48,440648.0,1.0
2024-03-29,24.18,24.26,23.61,24.22,279171.0,1.0
2024-04-01,24.22,24.88,23.21,24.47,383510.0,1.0
2024-04-02,24.47,24.99,24.01,24.18,358061.0,1.0
2024-04-03,24.0,24.43,23.36,23.94,270229.0,1.0
2024-04-08,23.71,24.75,23.57,24.19,297008.0,1.0
2024-04-09,24.0,24.33,23.57,24.19,224114.0,1.0
2024-04-10,24.0,24.05,23.26,23.4,222339.0,1.0
2024-04-11,23.39,23.91,23.04,23.09,209891.0,1.0
2024-04-12,23.5,24.6,23.3,23.92,376502.0,1.0
2024-04-15,23.8,25.75,23.79,25.5,609099.0,1.0
2024-04-16,24.97,25.99,24.29,24.64,524062.0,1.0
2024-04-17,24.89,26.97,24.89,26.5,493588.0,1.0
2024-04-18,26.01,27.52,25.73,26.98,397299.0,1.0
2024-04-19,26.0,26.97,25.39,26.14,418449.0,1.0
2024-04-22,23.98,25.24,22.78,25.0,419825.0,1.0
2024-04-23,25.37,26.1,25.05,25.41,234547.0,1.0
2024-04-24,25.79,30.49,25.68,30.05,839457.0,1.0
2024-04-25,30.0,30.07,29.05,29.43,498290.0,1.0
2024-04-26,30.22,31.2,29.47,30.53,737692.0,1.0
2024-04-29,30.7,31.3,29.99,30.58,461866.0,1.0
2024-04-30,30.5,30.76,29.56,29.68,374326.0,1.0
2024-05-06,30.15,30.47,28.9,29.19,389092.0,1.0
2024-05-07,29.88,30.85,29.1,29.35,452966.0,1.0
2024-05-08,28.9,31.49,28.9,30.35,518337.0,1.0
2024-05-09,29.8,30.89,29.71,30.35,270055.0,1.0
2024-05-10,29.9,30.1,28.36,28.74,394884.0,1.0
2024-05-13,28.74,29.19,28.18,28.45,261997.0,1.0
2024-05-14,28.53,28.86,26.81,27.41,374509.0,1.0
2024-05-15,27.45,29.8,27.28,28.76,423333.0,1.0
2024-05-16,30.5,31.25,30.0,30.3,485551.0,1.0
2024-05-17,30.28,30.66,28.89,30.0,362339.0,1.0
2024-05-20,29.6,30.75,29.25,30.1,346216.0,1.0
2024-05-21,30.81,31.06,29.48,29.95,340247.0,1.0
2024-05-22,29.5,29.7,28.94,29.15,261584.0,1.0
2024-05-23,29.83,29.85,28.11,28.64,391315.0,1.0
2024-05-24,28.64,29.17,27.25,27.61,326738.0,1.0
2024-05-27,27.78,28.28,27.0,28.18,320624.0,1.0
2024-05-28,27.8,28.07,26.62,26.89,347890.0,1.0
2024-05-29,27.21,27.68,26.89,27.19,206021.0,1.0
2024-05-30,27.0,27.97,26.4,27.6,219090.0,1.0
2024-05-31,27.4,28.13,26.85,27.34,229827.0,1.0
2024-06-03,27.3,29.5,27.26,29.23,456712.0,1.0
2024-06-04,29.22,31.29,29.01,30.91,534181.0,1.0
2024-06-05,30.92,32.64,30.57,31.0,483127.0,1.0
2024-06-06,31.8,33.33,31.38,31.63,517692.0,1.0
2024-06-07,31.02,31.8,29.94,30.5,359568.0,1.0
2024-06-11,30.65,31.41,30.25,30.87,268617.0,1.0
2024-06-12,31.01,31.37,29.14,29.73,436633.0,1.0
2024-06-13,29.97,31.82,29.84,30.87,434144.0,1.0
2024-06-14,30.84,34.2,30.55,33.02,672163.0,1.0
2024-06-17,33.5,34.17,32.56,33.62,360729.0,1.0
2024-06-18,33.35,34.83,33.03,33.64,385562.0,1.0
2024-06-19,34.0,34.51,32.87,32.9,282563.0,1.0
2024-06-20,33.0,33.22,32.02,32.05,198649.0,1.0
2024-06-21,31.4,32.64,31.3,31.95,218211.0,1.0
2024-06-24,31.95,32.42,30.88,31.12,288461.0,1.0
2024-06-25,30.6,30.6,29.6,29.85,276404.0,1.0
2024-06-26,30.88,32.22,30.88,31.95,424066.0,1.0
2024-06-27,31.21,32.45,30.93,31.04,322275.0,1.0
2024-06-28,30.87,33.26,30.87,32.26,392522.0,1.0
2024-07-01,31.9,34.29,30.94,33.63,450875.0,1.0
2024-07-02,34.35,34.77,33.23,33.38,393172.0,1.0
2024-07-03,33.55,34.8,33.34,33.62,329038.0,1.0
